,year_month,customer_id,count
0,201804,AS002855,4
1,201804,AS009013,2
2,201804,AS009373,3
3,201804,AS015315,6
4,201804,AS015739,7
5,201804,AS015746,4
6,201804,AS019860,6
7,201804,AS024181,4
8,201804,AS030404,1
9,201804,AS031206,4
10,201804,AS036678,7
11,201804,AS038564,6
12,201804,AS040841,8
13,201804,AS040860,6
14,201804,AS046594,9
15,201804,AS047907,3
16,201804,AS055659,7
17,201804,AS055680,3
18,201804,AS057808,8
19,201804,AS058623,6
20,201804,AS060041,7
21,201804,AS065870,6
22,201804,AS069821,5
23,201804,AS070625,6
24,201804,AS071660,8
25,201804,AS073168,8
26,201804,AS073285,7
27,201804,AS077151,5
28,201804,AS082596,7
29,201804,AS092144,6
30,201804,AS098763,8
31,201804,AS099118,5
32,201804,AS099984,4
33,201804,AS105107,6
34,201804,AS107662,7
35,201804,AS108195,4
36,201804,AS108507,4
37,201804,AS113826,4
38,201804,AS115107,2
39,201804,AS123220,6
40,201804,AS124354,3
41,201804,AS132988,6
42,201804,AS136184,9
43,201804,AS137764,4
44,201804,AS141460,5
45,201804,AS147168,1
46,201804,AS147485,3
47,201804,AS152185,3
48,201804,AS157629,3
49,201804,AS158438,5
50,201804,AS161071,8
51,201804,AS169823,3
52,201804,AS170379,9
53,201804,AS171842,5
54,201804,AS171994,5
55,201804,AS174345,3
56,201804,AS175707,8
57,201804,AS177253,4
58,201804,AS183155,3
59,201804,AS185951,10
60,201804,AS186727,6
61,201804,AS189336,7
62,201804,AS190883,7
63,201804,AS193568,5
64,201804,AS194595,5
65,201804,AS196653,5
66,201804,AS197200,8
67,201804,AS200286,10
68,201804,AS206541,1
69,201804,AS207011,6
70,201804,AS210846,6
71,201804,AS211705,6
72,201804,AS211927,3
73,201804,AS212221,7
74,201804,AS218636,4
75,201804,AS220894,7
76,201804,AS222240,8
77,201804,AS227898,5
78,201804,AS235724,9
79,201804,AS237205,8
80,201804,AS240190,4
81,201804,AS240586,7
82,201804,AS248090,6
83,201804,AS248948,7
84,201804,AS251112,3
85,201804,AS251169,7
86,201804,AS256239,6
87,201804,AS258098,3
88,201804,AS259792,4
89,201804,AS263080,4
90,201804,AS272193,9
91,201804,AS273414,8
92,201804,AS275166,2
93,201804,AS275287,6
94,201804,AS275753,4
95,201804,AS280744,4
96,201804,AS282618,7
97,201804,AS288339,5
98,201804,AS288569,9
99,201804,AS294655,7
100,201804,AS297966,6
101,201804,AS299544,2
102,201804,AS303294,4
103,201804,AS305652,10
104,201804,AS305860,3
105,201804,AS309101,1
106,201804,AS310564,1
107,201804,AS311628,5
108,201804,AS319907,9
109,201804,AS320552,5
110,201804,AS321794,9
111,201804,AS335390,5
112,201804,AS339451,4
113,201804,AS342526,5
114,201804,AS345469,7
115,201804,AS345508,5
116,201804,AS346579,3
117,201804,AS347661,2
118,201804,AS351574,3
119,201804,AS352209,4
120,201804,AS353422,8
121,201804,AS354246,8
122,201804,AS356812,8
123,201804,AS359364,1
124,201804,AS363699,3
125,201804,AS365290,6
126,201804,AS369194,8
127,201804,AS369418,6
128,201804,AS371310,1
129,201804,AS373785,1
130,201804,AS374280,8
131,201804,AS377637,9
132,201804,AS383234,4
133,201804,AS385315,6
134,201804,AS386696,3
135,201804,AS390441,6
136,201804,AS394423,6
137,201804,AS399435,4
138,201804,AS404195,7
139,201804,AS404579,7
140,201804,AS410205,2
141,201804,AS412668,7
142,201804,AS417309,1
143,201804,AS417696,4
144,201804,AS428439,2
145,201804,AS430089,6
146,201804,AS430563,5
147,201804,AS435092,3
148,201804,AS436928,2
149,201804,AS448355,2
150,201804,AS450151,9
151,201804,AS453084,8
152,201804,AS453157,2
153,201804,AS453778,5
154,201804,AS454149,4
155,201804,AS458614,7
156,201804,AS460177,2
157,201804,AS460655,4
158,201804,AS460810,5
159,201804,AS462796,7
160,201804,AS462883,6
161,201804,AS462973,8
162,201804,AS466656,8
163,201804,AS467237,7
164,201804,AS467683,4
165,201804,AS468297,4
166,201804,AS470817,5
167,201804,AS473535,5
168,201804,AS475839,5
169,201804,AS476267,6
170,201804,AS477871,1
171,201804,AS480037,2
172,201804,AS488509,6
173,201804,AS491316,4
174,201804,AS491747,10
175,201804,AS494168,12
176,201804,AS495117,6
177,201804,AS499352,7
178,201804,AS499893,4
179,201804,AS501123,7
180,201804,AS502510,8
181,201804,AS506797,7
182,201804,AS509237,9
183,201804,AS512827,4
184,201804,AS515526,6
185,201804,AS515541,9
186,201804,AS515861,3
187,201804,AS516140,6
188,201804,AS516396,7
189,201804,AS518169,6
190,201804,AS529972,6
191,201804,AS531034,9
192,201804,AS534058,3
193,201804,AS535481,4
194,201804,AS543483,1
195,201804,AS546422,8
196,201804,AS546865,6
197,201804,AS547635,10
198,201804,AS548544,8
199,201804,AS550302,8
200,201804,AS552198,6
201,201804,AS554975,6
202,201804,AS563124,5
203,201804,AS569518,9
204,201804,AS571298,5
205,201804,AS574816,4
206,201804,AS575508,4
207,201804,AS575700,3
208,201804,AS581751,8
209,201804,AS582110,1
210,201804,AS582607,4
211,201804,AS584189,7
212,201804,AS586641,3
213,201804,AS587750,5
214,201804,AS588076,6
215,201804,AS588186,5
216,201804,AS589687,8
217,201804,AS594062,4
218,201804,AS603613,3
219,201804,AS614406,6
220,201804,AS614421,7
221,201804,AS618299,7
222,201804,AS621407,6
223,201804,AS621552,4
224,201804,AS622023,9
225,201804,AS625761,7
226,201804,AS625883,3
227,201804,AS627304,10
228,201804,AS628460,1
229,201804,AS628722,9
230,201804,AS632327,8
231,201804,AS634661,3
232,201804,AS636570,8
233,201804,AS637476,4
234,201804,AS639549,8
235,201804,AS642796,5
236,201804,AS645809,8
237,201804,AS647421,2
238,201804,AS648913,8
239,201804,AS649439,6
240,201804,AS650043,7
241,201804,AS656522,5
242,201804,AS660812,6
243,201804,AS662285,7
244,201804,AS662863,5
245,201804,AS670699,8
246,201804,AS671429,4
247,201804,AS676181,4
248,201804,AS677229,3
249,201804,AS677821,6
250,201804,AS679641,5
251,201804,AS693220,4
252,201804,AS699883,9
253,201804,AS700549,1
254,201804,AS700935,8
255,201804,AS703258,7
256,201804,AS704643,4
257,201804,AS706877,9
258,201804,AS707671,5
259,201804,AS712913,2
260,201804,AS716291,7
261,201804,AS717316,2
262,201804,AS719871,10
263,201804,AS721170,7
264,201804,AS723178,1
265,201804,AS726272,9
266,201804,AS726714,4
267,201804,AS727718,6
268,201804,AS732240,2
269,201804,AS734592,8
270,201804,AS734767,4
271,201804,AS736672,4
272,201804,AS741333,7
273,201804,AS742617,2
274,201804,AS744154,8
275,201804,AS756169,6
276,201804,AS756586,5
277,201804,AS756694,1
278,201804,AS758226,6
279,201804,AS761330,7
280,201804,AS766856,7
281,201804,AS771185,6
282,201804,AS771307,7
283,201804,AS772036,8
284,201804,AS776002,5
285,201804,AS777651,3
286,201804,AS779956,5
287,201804,AS781999,9
